boise60k40pProbSet
Problem reading probability file. File boise60k40pProbSet does not exist.
testName run time fitness gens maxGens popSize cPopSize agents groupSize e0 e1 e2 e3 e4 e5 e6 e7 e8 e9 e10
boise60k40p 0 4.000000 0.119775 0 1000 40 40 1603 50 0.0174672 0.0224579 0.0280724 0.0374298 0.0517779 0.0655022 0.0798503 0.0929507 0.109794 0.122271 0.119775
boise60k40p 0 4.000000 0.191516 10 1000 40 40 1603 50 0.0187149 0.0280724 0.0336868 0.0411728 0.0499064 0.0686213 0.0985652 0.129133 0.151591 0.185901 0.191516
boise60k40p 0 4.000000 0.225203 20 1000 40 40 1603 50 0.0180911 0.0280724 0.036806 0.0486588 0.066126 0.0941984 0.127885 0.152215 0.185278 0.218341 0.225203
boise60k40p 0 4.000000 0.254523 30 1000 40 40 1603 50 0.0205864 0.02932 0.0393013 0.0536494 0.0742358 0.102932 0.135371 0.165939 0.204616 0.240799 0.254523
boise60k40p 0 4.000000 0.283219 40 1000 40 40 1603 50 0.0180911 0.0243294 0.036806 0.0561447 0.0873362 0.11728 0.15471 0.188397 0.227698 0.270119 0.283219
boise60k40p 0 4.000000 0.305677 50 1000 40 40 1603 50 0.0199626 0.0299439 0.0399251 0.0561447 0.0910792 0.123518 0.164067 0.201497 0.244541 0.283843 0.305677
boise60k40p 0 4.000000 0.333125 60 1000 40 40 1603 50 0.0199626 0.0280724 0.0411728 0.0642545 0.0979414 0.135371 0.18403 0.222707 0.264504 0.315658 0.333125
boise60k40p 0 4.000000 0.374922 70 1000 40 40 1603 50 0.0205864 0.0349345 0.0436681 0.0723643 0.117904 0.159077 0.202745 0.260761 0.312539 0.371179 0.374922
boise60k40p 0 4.000000 0.422333 80 1000 40 40 1603 50 0.0237056 0.033063 0.0524017 0.0723643 0.106051 0.150343 0.19713 0.258266 0.324392 0.395508 0.422333
boise60k40p 0 4.000000 0.435434 90 1000 40 40 1603 50 0.0218341 0.0343107 0.0486588 0.0729881 0.11728 0.172177 0.230817 0.298191 0.357455 0.428571 0.435434
boise60k40p 0 4.000000 0.485340 100 1000 40 40 1603 50 0.0237056 0.0393013 0.0555209 0.0767311 0.116032 0.186525 0.249532 0.319401 0.394885 0.482845 0.48534
boise60k40p 0 4.000000 0.551466 110 1000 40 40 1603 50 0.025577 0.0355583 0.0517779 0.0817218 0.126638 0.190268 0.260761 0.345602 0.4398 0.545228 0.551466
boise60k40p 0 4.000000 0.625702 120 1000 40 40 1603 50 0.0237056 0.0380537 0.0561447 0.0823456 0.135371 0.211478 0.303182 0.399251 0.509669 0.626326 0.625702
boise60k40p 0 4.000000 0.643793 130 1000 40 40 1603 50 0.0230817 0.036806 0.0567686 0.0860886 0.129133 0.205864 0.300686 0.391142 0.507174 0.620711 0.643793
boise60k40p 0 4.000000 0.659389 140 1000 40 40 1603 50 0.0230817 0.0343107 0.0567686 0.0854648 0.140986 0.217093 0.310044 0.415471 0.532127 0.647536 0.659389
boise60k40p 0 4.000000 0.705552 150 1000 40 40 1603 50 0.0249532 0.0374298 0.0598877 0.095446 0.159701 0.247661 0.354959 0.463506 0.592639 0.706176 0.705552
