boise60k10p40cpProbSet
Problem reading probability file. File boise60k10p40cpProbSet does not exist.
testName run time fitness gens maxGens popSize cPopSize agents groupSize e0 e1 e2 e3 e4 e5 e6 e7 e8 e9 e10
boise60k10p40cp 0 4.000000 0.086712 0 100 10 40 1603 50 0.0180911 0.0205864 0.0224579 0.0243294 0.0280724 0.0324392 0.0424205 0.0536494 0.0642545 0.0779788 0.0867124
boise60k10p40cp 0 4.000000 0.168434 10 100 10 40 1603 50 0.0168434 0.0237056 0.0280724 0.0349345 0.0474111 0.0617592 0.0867124 0.107923 0.132252 0.155958 0.168434
boise60k10p40cp 0 4.000000 0.255770 20 100 10 40 1603 50 0.0237056 0.0299439 0.036806 0.0505303 0.0729881 0.102308 0.134124 0.164691 0.200873 0.246413 0.25577
boise60k10p40cp 0 4.000000 0.323768 30 100 10 40 1603 50 0.0180911 0.02932 0.0399251 0.0598877 0.0885839 0.127261 0.16282 0.199002 0.25078 0.297567 0.323768
boise60k10p40cp 0 4.000000 0.424828 40 100 10 40 1603 50 0.0218341 0.0336868 0.0424205 0.0648784 0.101684 0.150343 0.208983 0.27199 0.353088 0.419214 0.424828
boise60k10p40cp 0 4.000000 0.525265 50 100 10 40 1603 50 0.0243294 0.033063 0.0530256 0.0810979 0.124142 0.195259 0.268247 0.344978 0.425452 0.515284 0.525265
boise60k10p40cp 0 4.000000 0.608858 60 100 10 40 1603 50 0.0218341 0.036806 0.0548971 0.0885839 0.137243 0.212726 0.295072 0.379913 0.47224 0.573924 0.608858
boise60k10p40cp 0 4.000000 0.645664 70 100 10 40 1603 50 0.0230817 0.0386775 0.0567686 0.0873362 0.145352 0.233313 0.315658 0.428571 0.532127 0.641298 0.645664
boise60k10p40cp 0 4.000000 0.697442 80 100 10 40 1603 50 0.0268247 0.0411728 0.0611354 0.0860886 0.148472 0.252027 0.353712 0.458515 0.5733 0.686213 0.697442
boise60k10p40cp 0 4.000000 0.743606 90 100 10 40 1603 50 0.0237056 0.0393013 0.0598877 0.0929507 0.162196 0.253275 0.366188 0.481597 0.598877 0.701185 0.743606
boise60k10p40cp 0 4.000000 0.768559 100 100 10 40 1603 50 0.025577 0.0424205 0.0667498 0.10418 0.176544 0.286338 0.406114 0.53088 0.659389 0.767935 0.768559
boise60k10p40cpProbSet
testName run time fitness gens maxGens popSize cPopSize agents groupSize e0 e1 e2 e3 e4 e5 e6 e7 e8 e9 e10
boise60k10p40cp 0 4.000000 0.774797 0 100 10 40 1603 50 0.0243294 0.0424205 0.0673737 0.105427 0.174049 0.281347 0.401123 0.53088 0.672489 0.768559 0.774797
boise60k10p40cp 0 4.000000 0.819713 10 100 10 40 1603 50 0.0230817 0.0411728 0.0673737 0.103556 0.18403 0.299439 0.419838 0.550218 0.681223 0.79975 0.819713
boise60k10p40cp 0 4.000000 0.826575 20 100 10 40 1603 50 0.0230817 0.0449158 0.0667498 0.111042 0.188397 0.306925 0.431691 0.574548 0.707424 0.810979 0.826575
boise60k10p40cp 0 4.000000 0.837180 30 100 10 40 1603 50 0.0262009 0.0455396 0.0704928 0.104803 0.190268 0.300062 0.417966 0.551466 0.698066 0.839052 0.83718
boise60k10p40cp 0 4.000000 0.837180 40 100 10 40 1603 50 0.0249532 0.0436681 0.0642545 0.100437 0.179039 0.293824 0.423581 0.562071 0.698066 0.81597 0.83718
boise60k10p40cp 0 4.000000 0.845914 50 100 10 40 1603 50 0.0268247 0.0461634 0.0704928 0.114161 0.194011 0.315658 0.44292 0.577043 0.713038 0.834685 0.845914
boise60k10p40cp 0 4.000000 0.860262 60 100 10 40 1603 50 0.0224579 0.0480349 0.066126 0.107299 0.205864 0.328135 0.471616 0.608858 0.761697 0.868372 0.860262
boise60k10p40cp 0 4.000000 0.878353 70 100 10 40 1603 50 0.0237056 0.0461634 0.0717405 0.117904 0.203993 0.325016 0.46912 0.608858 0.760449 0.858391 0.878353
boise60k10p40cp 0 4.000000 0.910792 80 100 10 40 1603 50 0.0243294 0.0480349 0.0717405 0.11728 0.212726 0.342483 0.475359 0.613849 0.761073 0.879601 0.910792
boise60k10p40cp 0 4.000000 0.910792 90 100 10 40 1603 50 0.0262009 0.0461634 0.0729881 0.112913 0.215221 0.34685 0.487835 0.626949 0.77043 0.881472 0.910792
boise60k10p40cp 0 4.000000 0.917031 100 100 10 40 1603 50 0.0249532 0.0455396 0.073612 0.119775 0.210855 0.338116 0.480973 0.630692 0.785402 0.883344 0.917031
boise60k10p40cpProbSet
