Safety-to-danger initialization:
testName run time fitness gens maxGens popSize cPopSize agents groupSize e0 e1 e2 e3 e4 e5 e6 e7 e8 e9 e10
boise60k10p40cps2d 0 4.000000 1.000000 0 100 10 40 1603 50 0.0180911 0.0224579 0.0268247 0.0280724 0.0299439 0.0349345 0.0393013 0.0424205 0.0436681 0.0480349 1
boise60k10p40cps2d 0 4.000000 1.000000 1 100 10 40 1603 50 0.0230817 0.0280724 0.033063 0.0374298 0.0417966 0.044292 0.0486588 0.0499064 0.0524017 0.0592639 1
boise60k10p40cps2d 1 4.000000 1.000000 0 100 10 40 1603 50 0.0193387 0.0237056 0.0274485 0.0324392 0.0361822 0.0386775 0.0430443 0.0474111 0.0505303 0.0530256 1
boise60k10p40cps2d 2 4.000000 1.000000 0 100 10 40 1603 50 0.0199626 0.0218341 0.0230817 0.0268247 0.0318153 0.0380537 0.0417966 0.0455396 0.0474111 0.0530256 1
boise60k10p40cps2d 3 4.000000 1.000000 0 100 10 40 1603 50 0.0180911 0.0243294 0.025577 0.0286962 0.0311915 0.0361822 0.0411728 0.0474111 0.0505303 0.0555209 1
boise60k10p40cps2d 4 4.000000 1.000000 0 100 10 40 1603 50 0.0193387 0.0230817 0.0268247 0.02932 0.0343107 0.0386775 0.0467873 0.0517779 0.0561447 0.0586401 1
boise60k10p40cps2d 5 4.000000 1.000000 0 100 10 40 1603 50 0.0174672 0.0230817 0.0237056 0.0280724 0.02932 0.0336868 0.036806 0.0399251 0.0436681 0.0492826 1
boise60k10p40cps2d 6 4.000000 1.000000 0 100 10 40 1603 50 0.0199626 0.0237056 0.0262009 0.0299439 0.033063 0.036806 0.0386775 0.0424205 0.0474111 0.0492826 1
boise60k10p40cps2d 7 4.000000 1.000000 0 100 10 40 1603 50 0.0180911 0.0237056 0.0262009 0.0305677 0.0336868 0.0380537 0.0417966 0.0461634 0.0505303 0.0548971 1
boise60k10p40cps2d 8 4.000000 1.000000 0 100 10 40 1603 50 0.0187149 0.0212102 0.0249532 0.02932 0.0336868 0.0355583 0.0380537 0.0424205 0.0492826 0.0561447 1
boise60k10p40cps2d 9 4.000000 1.000000 0 100 10 40 1603 50 0.0205864 0.0224579 0.0274485 0.0305677 0.0343107 0.0386775 0.0411728 0.0474111 0.0486588 0.0530256 1
boise60k10p40cps2d 10 4.000000 1.000000 0 100 10 40 1603 50 0.0168434 0.0243294 0.0311915 0.0336868 0.0343107 0.036806 0.0417966 0.0455396 0.0499064 0.0530256 1
boise60k10p40cps2d 11 4.000000 1.000000 0 100 10 40 1603 50 0.0174672 0.0224579 0.025577 0.0318153 0.0336868 0.0361822 0.040549 0.0436681 0.0474111 0.0511541 1
boise60k10p40cps2d 12 4.000000 1.000000 0 100 10 40 1603 50 0.0168434 0.0230817 0.0280724 0.033063 0.0343107 0.0386775 0.0417966 0.044292 0.0467873 0.0499064 1
boise60k10p40cps2d 13 4.000000 1.000000 0 100 10 40 1603 50 0.0212102 0.0249532 0.0262009 0.02932 0.0318153 0.0355583 0.0399251 0.0430443 0.0467873 0.0517779 1
boise60k10p40cps2dProbSet
testName run time fitness gens maxGens popSize cPopSize agents groupSize e0 e1 e2 e3 e4 e5 e6 e7 e8 e9 e10
boise60k10p40cps2d 0 4.000000 0.072364 0 100 10 40 1603 50 0.0180911 0.0212102 0.0249532 0.0274485 0.0355583 0.0393013 0.0461634 0.0517779 0.0573924 0.0673737 0.0723643
boise60k10p40cps2d 0 4.000000 0.144729 10 100 10 40 1603 50 0.0224579 0.0243294 0.02932 0.0374298 0.0474111 0.0636307 0.0823456 0.0985652 0.115409 0.135371 0.144729
boise60k10p40cps2d 0 4.000000 0.258266 20 100 10 40 1603 50 0.0205864 0.0249532 0.0374298 0.0499064 0.0748596 0.108546 0.150343 0.190268 0.233936 0.276357 0.258266
boise60k10p40cps2d 0 4.000000 0.334997 30 100 10 40 1603 50 0.0205864 0.0286962 0.0411728 0.0655022 0.101061 0.144729 0.185278 0.240175 0.291329 0.341859 0.334997
boise60k10p40cps2d 0 4.000000 0.393637 40 100 10 40 1603 50 0.0162196 0.0280724 0.040549 0.0642545 0.106675 0.166563 0.208359 0.259513 0.326887 0.378665 0.393637
boise60k10p40cps2d 0 4.000000 0.432314 50 100 10 40 1603 50 0.0205864 0.0286962 0.0430443 0.0692452 0.122271 0.187773 0.243294 0.306925 0.364941 0.428571 0.432314
boise60k10p40cps2d 0 4.000000 0.445415 60 100 10 40 1603 50 0.0205864 0.0343107 0.0461634 0.073612 0.124142 0.185901 0.242046 0.310044 0.365565 0.426076 0.445415
boise60k10p40cps2d 0 4.000000 0.462258 70 100 10 40 1603 50 0.0199626 0.0343107 0.0480349 0.0704928 0.117904 0.178415 0.24267 0.298815 0.364317 0.433562 0.462258
boise60k10p40cps2d 0 4.000000 0.469120 80 100 10 40 1603 50 0.0199626 0.0318153 0.0517779 0.0792264 0.134747 0.193387 0.253275 0.313787 0.372427 0.44292 0.46912
boise60k10p40cps2d 0 4.000000 0.470992 90 100 10 40 1603 50 0.0193387 0.0336868 0.0492826 0.0823456 0.143481 0.19713 0.26388 0.331254 0.391765 0.463506 0.470992
boise60k10p40cps2d 0 4.000000 0.492202 100 100 10 40 1603 50 0.0212102 0.0343107 0.0480349 0.0848409 0.148472 0.212726 0.287586 0.349345 0.411728 0.48534 0.492202
