./sim < tests/agents.slang
testName time fitness gens maxGens agents groupsize e0 e1 e2 e3 e4 e5 e6 e7 e8 e9 e10
agentsTest 0.700000 1.000000 79 100 500 10 0 0 0.004 0.064 0.174 0.354 0.55 0.748 0.916 0.986 1
agentsTest 0.700000 1.000000 62 100 500 10 0 0 0.004 0.064 0.186 0.356 0.546 0.736 0.92 0.986 1
agentsTest 0.700000 1.000000 88 100 500 10 0 0 0.004 0.064 0.214 0.402 0.596 0.78 0.93 0.998 1
agentsTest 0.700000 1.000000 85 100 500 10 0 0 0.004 0.064 0.17 0.346 0.536 0.732 0.904 0.996 1
agentsTest 0.700000 1.000000 79 100 500 10 0 0 0.004 0.07 0.22 0.402 0.596 0.784 0.938 0.994 1
agentsTest 0.700000 0.996000 100 100 500 10 0 0 0.004 0.066 0.236 0.418 0.594 0.762 0.914 0.976 0.996
agentsTest 0.700000 1.000000 65 100 500 10 0 0 0.004 0.066 0.2 0.4 0.596 0.794 0.88 0.998 1
agentsTest 0.700000 1.000000 75 100 500 10 0 0 0.004 0.066 0.22 0.378 0.566 0.762 0.954 0.996 1
agentsTest 0.700000 1.000000 88 100 500 10 0 0 0.004 0.062 0.18 0.332 0.518 0.712 0.912 0.984 1
agentsTest 0.700000 1.000000 95 100 500 10 0 0 0.004 0.064 0.222 0.408 0.596 0.762 0.924 0.996 1
agentsTest 0.700000 1.000000 81 100 500 10 0 0 0.004 0.064 0.206 0.386 0.572 0.752 0.908 0.986 1
agentsTest 0.700000 1.000000 89 100 500 10 0 0 0.004 0.068 0.226 0.39 0.584 0.772 0.952 0.996 1
agentsTest 0.700000 1.000000 79 100 500 10 0 0 0.004 0.068 0.174 0.35 0.544 0.738 0.936 0.996 1
agentsTest 0.700000 1.000000 66 100 500 10 0 0 0.004 0.064 0.198 0.388 0.586 0.77 0.908 0.996 1
agentsTest 0.700000 1.000000 84 100 500 10 0 0 0.004 0.064 0.21 0.394 0.594 0.78 0.924 0.998 1
agentsTest 0.700000 1.000000 66 100 500 10 0 0 0.004 0.066 0.198 0.398 0.598 0.796 0.88 0.996 1
agentsTest 0.700000 1.000000 77 100 500 10 0 0 0.004 0.068 0.218 0.394 0.582 0.786 0.982 0.992 1
agentsTest 0.700000 1.000000 73 100 500 10 0 0 0.004 0.068 0.198 0.38 0.574 0.782 0.968 0.996 1
agentsTest 0.700000 1.000000 81 100 500 10 0 0 0.004 0.068 0.218 0.406 0.594 0.758 0.928 0.994 1
agentsTest 0.700000 1.000000 83 100 500 10 0 0 0.004 0.066 0.212 0.396 0.594 0.782 0.932 0.994 1
agentsTest 0.700000 1.000000 79 100 500 10 0 0 0.004 0.066 0.232 0.4 0.58 0.752 0.934 0.986 1
agentsTest 0.700000 1.000000 84 100 500 10 0 0 0.004 0.066 0.202 0.372 0.56 0.748 0.946 0.986 1
agentsTest 0.700000 1.000000 66 100 500 10 0 0 0.004 0.064 0.212 0.38 0.578 0.76 0.942 0.998 1
agentsTest 0.700000 1.000000 95 100 500 10 0 0 0.004 0.064 0.202 0.374 0.562 0.76 0.928 0.998 1
agentsTest 0.700000 1.000000 78 100 500 10 0 0 0.004 0.064 0.206 0.398 0.596 0.762 0.918 0.996 1
agentsTest 0.700000 1.000000 81 100 500 10 0 0 0.002 0.066 0.224 0.432 0.612 0.806 0.962 0.996 1
agentsTest 0.700000 1.000000 67 100 500 10 0 0 0.004 0.064 0.194 0.372 0.558 0.742 0.922 0.988 1
agentsTest 0.700000 1.000000 68 100 500 10 0 0 0.004 0.064 0.202 0.38 0.576 0.77 0.92 0.994 1
agentsTest 0.700000 1.000000 77 100 500 10 0 0 0.004 0.066 0.2 0.4 0.6 0.798 0.882 0.998 1
agentsTest 0.700000 1.000000 82 100 500 10 0 0 0.004 0.066 0.21 0.396 0.588 0.764 0.922 0.988 1
agentsTest 0.700000 1.000000 68 100 500 10 0 0 0.004 0.066 0.198 0.4 0.596 0.786 0.876 0.998 1
agentsTest 0.700000 1.000000 78 100 500 10 0 0 0.004 0.064 0.206 0.394 0.568 0.76 0.904 0.994 1
agentsTest 0.700000 1.000000 80 100 500 10 0 0 0.004 0.066 0.194 0.35 0.526 0.722 0.892 0.988 1
agentsTest 0.700000 1.000000 68 100 500 10 0 0 0.004 0.064 0.234 0.402 0.586 0.764 0.94 0.988 1
agentsTest 0.700000 1.000000 86 100 500 10 0 0 0.004 0.064 0.22 0.398 0.562 0.746 0.938 0.996 1
agentsTest 0.700000 1.000000 73 100 500 10 0 0 0.004 0.066 0.202 0.4 0.592 0.788 0.88 0.994 1
agentsTest 0.700000 1.000000 95 100 500 10 0 0 0.004 0.066 0.202 0.4 0.6 0.798 0.882 1 1
agentsTest 0.700000 1.000000 59 100 500 10 0 0 0.004 0.064 0.2 0.386 0.586 0.778 0.906 0.998 1
agentsTest 0.700000 1.000000 76 100 500 10 0 0 0.004 0.066 0.202 0.4 0.598 0.782 0.88 0.996 1
agentsTest 0.700000 1.000000 99 100 500 10 0 0 0.004 0.066 0.21 0.406 0.612 0.784 0.958 0.996 1
