boise60k100pProbSet
Problem reading probability file. File boise60k100pProbSet does not exist.
testName run time fitness gens maxGens popSize cPopSize agents groupSize e0 e1 e2 e3 e4 e5 e6 e7 e8 e9 e10
boise60k100p 0 4.000000 0.114161 0 1000 100 100 1603 50 0.0180911 0.0230817 0.025577 0.0336868 0.0449158 0.0561447 0.073612 0.0867124 0.103556 0.119152 0.114161
boise60k100p 0 4.000000 0.238303 10 1000 100 100 1603 50 0.0224579 0.0280724 0.0374298 0.0449158 0.0648784 0.0929507 0.129757 0.159701 0.198378 0.242046 0.238303
boise60k100p 0 4.000000 0.296319 20 1000 100 100 1603 50 0.0193387 0.0336868 0.0430443 0.0586401 0.0860886 0.1335 0.172177 0.211478 0.257642 0.300686 0.296319
boise60k100p 0 4.000000 0.336868 30 1000 100 100 1603 50 0.0168434 0.0268247 0.0386775 0.0636307 0.095446 0.136619 0.178415 0.218964 0.270742 0.315658 0.336868
boise60k100p 0 4.000000 0.376170 40 1000 100 100 1603 50 0.0180911 0.02932 0.0455396 0.0642545 0.100437 0.141609 0.19713 0.243294 0.296943 0.364317 0.37617
boise60k100p 0 4.000000 0.419214 50 1000 100 100 1603 50 0.0212102 0.0336868 0.0474111 0.073612 0.109794 0.165315 0.217717 0.284467 0.360574 0.433562 0.419214
boise60k100p 0 4.000000 0.472863 60 1000 100 100 1603 50 0.0212102 0.0361822 0.0511541 0.0742358 0.108546 0.164067 0.230193 0.300062 0.384279 0.457268 0.472863
boise60k100p 0 4.000000 0.573300 70 1000 100 100 1603 50 0.0212102 0.0355583 0.0474111 0.0742358 0.119152 0.183406 0.256394 0.341859 0.438553 0.540237 0.5733
boise60k100p 0 4.000000 0.651903 80 1000 100 100 1603 50 0.025577 0.0399251 0.0555209 0.0835933 0.131628 0.217717 0.316906 0.426076 0.538989 0.646288 0.651903
boise60k100p 0 4.000000 0.707424 90 1000 100 100 1603 50 0.0212102 0.0374298 0.0517779 0.0798503 0.142857 0.23456 0.342483 0.455396 0.567062 0.673113 0.707424
boise60k100p 0 4.000000 0.732377 100 1000 100 100 1603 50 0.0237056 0.0424205 0.0630069 0.0948222 0.159701 0.253899 0.364941 0.487835 0.61073 0.716157 0.732377
boise60k100p 0 4.000000 0.771678 110 1000 100 100 1603 50 0.0237056 0.0399251 0.0630069 0.099189 0.166563 0.267623 0.377417 0.507798 0.646288 0.764816 0.771678
boise60k100p 0 4.000000 0.797255 120 1000 100 100 1603 50 0.0237056 0.0455396 0.0667498 0.101684 0.177792 0.275733 0.396132 0.511541 0.650031 0.77043 0.797255
boise60k100p 0 4.000000 0.827823 130 1000 100 100 1603 50 0.0212102 0.0393013 0.0617592 0.0960699 0.172177 0.276981 0.415471 0.557704 0.692452 0.818465 0.827823
boise60k100p 0 4.000000 0.850905 140 1000 100 100 1603 50 0.0268247 0.0380537 0.0642545 0.102308 0.182782 0.304429 0.428571 0.576419 0.723019 0.828447 0.850905
boise60k100p 0 4.000000 0.879601 150 1000 100 100 1603 50 0.0243294 0.0455396 0.0642545 0.105427 0.203369 0.321273 0.44791 0.590144 0.738615 0.860886 0.879601
boise60k100p 0 4.000000 0.895820 160 1000 100 100 1603 50 0.0268247 0.0436681 0.0686213 0.112289 0.207735 0.335621 0.480973 0.628821 0.782907 0.897068 0.89582
boise60k100p 0 4.000000 0.924517 170 1000 100 100 1603 50 0.0262009 0.0505303 0.0779788 0.121023 0.220212 0.342483 0.504679 0.649407 0.805365 0.914535 0.924517
boise60k100p 0 4.000000 0.926388 180 1000 100 100 1603 50 0.025577 0.0455396 0.0686213 0.117904 0.220212 0.358702 0.520274 0.665003 0.805989 0.900187 0.926388
boise60k100p 0 4.000000 0.932002 190 1000 100 100 1603 50 0.0243294 0.0399251 0.0717405 0.110418 0.222707 0.353088 0.496569 0.641921 0.801622 0.914535 0.932002
boise60k100p 0 4.000000 0.941984 200 1000 100 100 1603 50 0.0262009 0.0536494 0.0779788 0.129133 0.228946 0.373674 0.511541 0.668122 0.829694 0.92514 0.941984
boise60k100p 0 4.000000 0.941984 210 1000 100 100 1603 50 0.025577 0.0499064 0.0779788 0.131004 0.224579 0.363693 0.505303 0.66937 0.812851 0.922021 0.941984
boise60k100p 0 4.000000 0.941984 220 1000 100 100 1603 50 0.025577 0.0517779 0.0767311 0.124766 0.22957 0.36806 0.509046 0.655646 0.820961 0.927012 0.941984
boise60k100p 0 4.000000 0.943855 230 1000 100 100 1603 50 0.0262009 0.0524017 0.0723643 0.119152 0.230193 0.359326 0.509046 0.662508 0.817842 0.921397 0.943855
boise60k100p 0 4.000000 0.943855 240 1000 100 100 1603 50 0.0286962 0.0499064 0.0723643 0.116032 0.228322 0.368684 0.510293 0.680599 0.830942 0.936369 0.943855
boise60k100p 0 4.000000 0.950094 250 1000 100 100 1603 50 0.02932 0.0474111 0.0767311 0.120399 0.220212 0.371179 0.540237 0.7068 0.847162 0.926388 0.950094
boise60k100p 0 4.000000 0.953837 260 1000 100 100 1603 50 0.0274485 0.0492826 0.0786026 0.123518 0.230193 0.384279 0.541485 0.706176 0.86151 0.944479 0.953837
boise60k100p 0 4.000000 0.959451 270 1000 100 100 1603 50 0.0230817 0.0461634 0.0761073 0.11728 0.220212 0.362445 0.526513 0.698066 0.850905 0.955084 0.959451
boise60k100p 0 4.000000 0.961946 280 1000 100 100 1603 50 0.025577 0.0486588 0.0779788 0.136619 0.239551 0.389894 0.538366 0.701809 0.835933 0.936369 0.961946
boise60k100p 0 4.000000 0.968185 290 1000 100 100 1603 50 0.0280724 0.0492826 0.0729881 0.136619 0.245789 0.406737 0.573924 0.743606 0.880848 0.948846 0.968185
boise60k100p 0 4.000000 0.970680 300 1000 100 100 1603 50 0.0262009 0.0461634 0.0742358 0.122895 0.228946 0.369308 0.526513 0.716157 0.873362 0.955708 0.97068
boise60k100p 0 4.000000 0.971304 310 1000 100 100 1603 50 0.0249532 0.0480349 0.0792264 0.127885 0.240799 0.406737 0.569557 0.753587 0.872739 0.944479 0.971304
boise60k100p 0 4.000000 0.980037 320 1000 100 100 1603 50 0.0274485 0.0499064 0.0786026 0.129757 0.244541 0.416719 0.606363 0.791641 0.916407 0.968185 0.980037
boise60k100p 0 4.000000 0.988771 330 1000 100 100 1603 50 0.0311915 0.0524017 0.0754835 0.139114 0.264504 0.443543 0.623206 0.819089 0.940112 0.981909 0.988771
boise60k100p 0 4.000000 0.988771 340 1000 100 100 1603 50 0.0299439 0.0474111 0.0723643 0.134747 0.256394 0.435434 0.624454 0.810979 0.929507 0.979414 0.988771
boise60k100p 0 4.000000 0.988771 350 1000 100 100 1603 50 0.0262009 0.0486588 0.0767311 0.140986 0.250156 0.428571 0.615721 0.809732 0.932626 0.975047 0.988771
boise60k100p 0 4.000000 0.988771 360 1000 100 100 1603 50 0.0280724 0.0467873 0.0742358 0.13849 0.260761 0.422957 0.620711 0.813475 0.947598 0.97879 0.988771
boise60k100p 0 4.000000 0.988771 370 1000 100 100 1603 50 0.0268247 0.0517779 0.0810979 0.141609 0.261385 0.428571 0.623206 0.805365 0.942608 0.982533 0.988771
boise60k100p 0 4.000000 0.991266 380 1000 100 100 1603 50 0.025577 0.0530256 0.0804741 0.141609 0.256394 0.426076 0.60262 0.815346 0.935745 0.976918 0.991266
boise60k100p 0 4.000000 0.991266 390 1000 100 100 1603 50 0.0299439 0.0524017 0.0779788 0.132876 0.253899 0.427324 0.620087 0.811603 0.923269 0.976918 0.991266
boise60k100p 0 4.000000 0.991266 400 1000 100 100 1603 50 0.0274485 0.0486588 0.0761073 0.135995 0.248908 0.413599 0.598253 0.790393 0.928883 0.983157 0.991266
boise60k100p 0 4.000000 0.991266 410 1000 100 100 1603 50 0.0268247 0.0530256 0.0767311 0.1335 0.249532 0.426076 0.613849 0.808484 0.938241 0.983157 0.991266
boise60k100p 0 4.000000 0.991890 420 1000 100 100 1603 50 0.02932 0.0524017 0.0817218 0.137866 0.254523 0.412352 0.607611 0.794136 0.929507 0.979414 0.99189
boise60k100p 0 4.000000 0.991890 430 1000 100 100 1603 50 0.02932 0.0492826 0.0761073 0.132876 0.253899 0.420462 0.620087 0.79975 0.944479 0.990643 0.99189
boise60k100p 0 4.000000 0.991890 440 1000 100 100 1603 50 0.02932 0.0517779 0.0798503 0.142857 0.26388 0.423581 0.607611 0.796008 0.948222 0.990643 0.99189
boise60k100p 0 4.000000 0.991890 450 1000 100 100 1603 50 0.0268247 0.0499064 0.0829694 0.137243 0.248908 0.415471 0.604492 0.777916 0.924517 0.988771 0.99189
boise60k100p 0 4.000000 0.993762 460 1000 100 100 1603 50 0.02932 0.0555209 0.0798503 0.134747 0.238927 0.402994 0.599501 0.787274 0.936369 0.988771 0.993762
boise60k100p 0 4.000000 0.993762 470 1000 100 100 1603 50 0.0274485 0.0505303 0.0823456 0.137866 0.240175 0.411728 0.593886 0.785402 0.936369 0.9869 0.993762
