boise60k10p40cpProbSet
Problem reading probability file. File boise60k10p40cpProbSet does not exist.
testName run time fitness gens maxGens popSize cPopSize agents groupSize e0 e1 e2 e3 e4 e5 e6 e7 e8 e9 e10
boise60k10p40cp 0 4.000000 0.104803 0 100 10 40 1603 50 0.0180911 0.0224579 0.0286962 0.0349345 0.040549 0.0492826 0.0561447 0.0655022 0.0792264 0.0910792 0.104803
boise60k10p40cp 0 4.000000 0.188397 10 100 10 40 1603 50 0.0162196 0.0205864 0.0280724 0.0374298 0.0524017 0.069869 0.0898316 0.11728 0.144105 0.171553 0.188397
boise60k10p40cp 0 4.000000 0.286338 20 100 10 40 1603 50 0.0224579 0.02932 0.040549 0.0542732 0.0792264 0.116656 0.152215 0.190892 0.233313 0.278852 0.286338
boise60k10p40cp 0 4.000000 0.344978 30 100 10 40 1603 50 0.0193387 0.0324392 0.0449158 0.066126 0.106675 0.156581 0.197754 0.240175 0.291953 0.341235 0.344978
boise60k10p40cp 0 4.000000 0.392389 40 100 10 40 1603 50 0.0199626 0.0318153 0.0424205 0.0648784 0.10418 0.162196 0.203993 0.268871 0.339364 0.39738 0.392389
boise60k10p40cp 0 4.000000 0.457268 50 100 10 40 1603 50 0.0224579 0.0324392 0.0492826 0.0711167 0.113537 0.171553 0.224579 0.285714 0.368684 0.433562 0.457268
boise60k10p40cp 0 4.000000 0.524017 60 100 10 40 1603 50 0.0193387 0.0324392 0.0499064 0.0835933 0.1335 0.204616 0.271366 0.338116 0.421709 0.502807 0.524017
boise60k10p40cp 0 4.000000 0.564566 70 100 10 40 1603 50 0.0205864 0.040549 0.0517779 0.0917031 0.142233 0.213974 0.273861 0.357455 0.458515 0.554585 0.564566
boise60k10p40cp 0 4.000000 0.627573 80 100 10 40 1603 50 0.0243294 0.036806 0.0586401 0.0979414 0.153462 0.232065 0.325016 0.423581 0.521522 0.627573 0.627573
boise60k10p40cp 0 4.000000 0.702433 90 100 10 40 1603 50 0.0230817 0.036806 0.0542732 0.0973175 0.161572 0.242046 0.339988 0.45602 0.566438 0.685589 0.702433
boise60k10p40cp 0 4.000000 0.739239 100 100 10 40 1603 50 0.0237056 0.0386775 0.0617592 0.0948222 0.166563 0.255147 0.377417 0.49345 0.614473 0.726762 0.739239
