testName time fitness gens maxGens agents groupsize e0 e1 e2 e3 e4 e5 e6 e7 e8 e9 e10
bazzan 2.200000 0.970588 100 100 170 10 0 0 0 0 0 0.0294118 0.158824 0.5 0.6 0.811765 0.970588
bazzan 2.200000 1.000000 95 100 170 10 0 0 0 0 0 0.0411765 0.164706 0.535294 0.770588 0.952941 1
bazzan 2.200000 1.000000 98 100 170 10 0 0 0 0 0 0.0352941 0.188235 0.488235 0.741176 0.982353 1
bazzan 2.200000 0.947059 100 100 170 10 0 0 0 0 0 0.0411765 0.170588 0.482353 0.647059 0.9 0.947059
bazzan 2.200000 0.982353 100 100 170 10 0 0 0 0 0 0.0352941 0.123529 0.335294 0.752941 0.976471 0.982353
bazzan 2.200000 1.000000 91 100 170 10 0 0 0 0 0 0.0294118 0.152941 0.494118 0.741176 0.958824 1
bazzan 2.200000 1.000000 99 100 170 10 0 0 0 0 0 0.0352941 0.170588 0.394118 0.752941 0.941176 1
bazzan 2.200000 0.994118 100 100 170 10 0 0 0 0 0 0.0117647 0.0882353 0.305882 0.729412 1 0.994118
bazzan 2.200000 1.000000 99 100 170 10 0 0 0 0 0 0.0294118 0.164706 0.482353 0.676471 0.994118 1
bazzan 2.200000 0.976471 100 100 170 10 0 0 0 0 0 0.0294118 0.152941 0.488235 0.641176 0.917647 0.976471
bazzan 2.200000 1.000000 100 100 170 10 0 0 0 0 0 0.0352941 0.170588 0.364706 0.647059 1 1
bazzan 2.200000 0.664706 100 100 170 10 0 0 0 0 0 0 0.0235294 0.1 0.323529 0.623529 0.664706
bazzan 2.200000 1.000000 97 100 170 10 0 0 0 0 0 0.0294118 0.152941 0.505882 0.688235 0.982353 1
bazzan 2.200000 0.958824 100 100 170 10 0 0 0 0 0 0.0352941 0.129412 0.347059 0.752941 0.9 0.958824
bazzan 2.200000 0.929412 100 100 170 10 0 0 0 0 0 0.0411765 0.176471 0.429412 0.552941 0.917647 0.929412
bazzan 2.200000 0.982353 100 100 170 10 0 0 0 0 0 0.0411765 0.182353 0.511765 0.670588 0.941176 0.982353
bazzan 2.200000 0.700000 100 100 170 10 0 0 0 0 0 0 0.0352941 0.135294 0.376471 0.664706 0.7
bazzan 2.200000 0.994118 100 100 170 10 0 0 0 0 0 0.0352941 0.182353 0.517647 0.694118 0.994118 0.994118
bazzan 2.200000 1.000000 96 100 170 10 0 0 0 0 0 0.0411765 0.182353 0.547059 0.717647 0.976471 1
bazzan 2.200000 1.000000 83 100 170 10 0 0 0 0 0 0.0294118 0.176471 0.458824 0.835294 0.994118 1
bazzan 2.200000 0.700000 100 100 170 10 0 0 0 0 0 0.0117647 0.0411765 0.123529 0.311765 0.611765 0.7
bazzan 2.200000 1.000000 97 100 170 10 0 0 0 0 0 0.0294118 0.152941 0.470588 0.664706 0.994118 1
bazzan 2.200000 0.970588 100 100 170 10 0 0 0 0 0 0.0411765 0.176471 0.464706 0.705882 0.905882 0.970588
bazzan 2.200000 1.000000 78 100 170 10 0 0 0 0 0.00588235 0.0294118 0.147059 0.494118 0.717647 0.976471 1
bazzan 2.200000 0.958824 100 100 170 10 0 0 0 0 0 0.0411765 0.182353 0.470588 0.588235 0.935294 0.958824
bazzan 2.200000 1.000000 86 100 170 10 0 0 0 0 0 0.0294118 0.158824 0.5 0.717647 1 1
bazzan 2.200000 1.000000 90 100 170 10 0 0 0 0 0 0.0294118 0.158824 0.541176 0.817647 0.988235 1
bazzan 2.200000 1.000000 92 100 170 10 0 0 0 0 0 0.0294118 0.158824 0.529412 0.723529 0.982353 1
bazzan 2.200000 0.988235 100 100 170 10 0 0 0 0 0 0.0352941 0.164706 0.541176 0.776471 0.970588 0.988235
bazzan 2.200000 1.000000 95 100 170 10 0 0 0 0 0 0.0294118 0.152941 0.476471 0.717647 0.988235 1
bazzan 2.200000 1.000000 89 100 170 10 0 0 0 0 0 0.0294118 0.158824 0.523529 0.747059 0.970588 1
bazzan 2.200000 1.000000 92 100 170 10 0 0 0 0 0 0.0352941 0.188235 0.423529 0.805882 0.864706 1
bazzan 2.200000 0.947059 100 100 170 10 0 0 0 0 0 0.0294118 0.164706 0.494118 0.623529 0.905882 0.947059
bazzan 2.200000 1.000000 86 100 170 10 0 0 0 0 0 0.0235294 0.152941 0.505882 0.705882 0.947059 1
bazzan 2.200000 0.982353 100 100 170 10 0 0 0 0 0 0.0411765 0.188235 0.494118 0.658824 0.947059 0.982353
bazzan 2.200000 0.994118 100 100 170 10 0 0 0 0 0 0.0294118 0.158824 0.517647 0.7 0.947059 0.994118
bazzan 2.200000 0.970588 100 100 170 10 0 0 0 0 0 0.0352941 0.170588 0.505882 0.694118 0.929412 0.970588
bazzan 2.200000 0.994118 100 100 170 10 0 0 0 0 0 0.0352941 0.194118 0.476471 0.758824 0.947059 0.994118
bazzan 2.200000 1.000000 100 100 170 10 0 0 0 0 0 0.0411765 0.176471 0.511765 0.629412 0.958824 1
bazzan 2.200000 1.000000 91 100 170 10 0 0 0 0 0 0.0411765 0.182353 0.541176 0.741176 0.994118 1
bazzan 2.200000 1.000000 84 100 170 10 0 0 0 0 0.00588235 0.0352941 0.194118 0.523529 0.764706 0.970588 1
bazzan 2.200000 0.982353 100 100 170 10 0 0 0 0 0 0.0294118 0.164706 0.552941 0.782353 0.935294 0.982353
bazzan 2.200000 1.000000 97 100 170 10 0 0 0 0 0 0.0117647 0.0882353 0.305882 0.682353 0.982353 1
bazzan 2.200000 0.988235 100 100 170 10 0 0 0 0 0 0.0352941 0.164706 0.494118 0.735294 0.947059 0.988235
bazzan 2.200000 0.988235 100 100 170 10 0 0 0 0 0 0.0411765 0.182353 0.511765 0.670588 0.923529 0.988235
bazzan 2.200000 0.652941 100 100 170 10 0 0 0 0 0 0 0.0235294 0.1 0.282353 0.594118 0.652941
bazzan 2.200000 0.994118 100 100 170 10 0 0 0 0 0 0.0294118 0.176471 0.476471 0.841176 0.964706 0.994118
bazzan 2.200000 1.000000 79 100 170 10 0 0 0 0 0 0.0411765 0.188235 0.476471 0.788235 0.994118 1
bazzan 2.200000 0.958824 100 100 170 10 0 0 0 0 0 0.0411765 0.152941 0.441176 0.570588 0.923529 0.958824
bazzan 2.200000 1.000000 95 100 170 10 0 0 0 0 0 0.0411765 0.182353 0.5 0.747059 0.982353 1
bazzan 2.200000 1.000000 95 100 170 10 0 0 0 0 0 0.0411765 0.188235 0.535294 0.682353 0.976471 1
bazzan 2.200000 1.000000 97 100 170 10 0 0 0 0 0 0.0352941 0.182353 0.511765 0.794118 0.935294 1
bazzan 2.200000 0.988235 100 100 170 10 0 0 0 0 0 0.0411765 0.170588 0.558824 0.747059 0.941176 0.988235
bazzan 2.200000 0.988235 100 100 170 10 0 0 0 0 0 0.0411765 0.182353 0.523529 0.641176 0.976471 0.988235
bazzan 2.200000 1.000000 94 100 170 10 0 0 0 0 0 0.0411765 0.164706 0.452941 0.658824 0.988235 1
bazzan 2.200000 0.976471 100 100 170 10 0 0 0 0 0 0.0411765 0.176471 0.494118 0.617647 0.935294 0.976471
bazzan 2.200000 0.988235 100 100 170 10 0 0 0 0 0 0.0352941 0.188235 0.511765 0.635294 0.964706 0.988235
bazzan 2.200000 0.970588 100 100 170 10 0 0 0 0 0 0.0411765 0.182353 0.441176 0.564706 0.882353 0.970588
bazzan 2.200000 1.000000 86 100 170 10 0 0 0 0 0 0.0352941 0.188235 0.541176 0.694118 0.970588 1
bazzan 2.200000 1.000000 97 100 170 10 0 0 0 0 0 0.0411765 0.194118 0.511765 0.752941 0.994118 1
bazzan 2.200000 0.976471 100 100 170 10 0 0 0 0 0 0.0294118 0.152941 0.488235 0.676471 0.935294 0.976471
bazzan 2.200000 0.994118 100 100 170 10 0 0 0 0 0 0.0411765 0.188235 0.541176 0.694118 0.982353 0.994118
bazzan 2.200000 0.988235 100 100 170 10 0 0 0 0 0 0.0352941 0.164706 0.511765 0.635294 0.947059 0.988235
bazzan 2.200000 0.976471 100 100 170 10 0 0 0 0 0 0.0294118 0.170588 0.464706 0.670588 0.935294 0.976471
bazzan 2.200000 1.000000 95 100 170 10 0 0 0 0 0 0.0411765 0.170588 0.517647 0.770588 0.988235 1
bazzan 2.200000 0.929412 100 100 170 10 0 0 0 0 0 0.0294118 0.135294 0.464706 0.694118 0.9 0.929412
bazzan 2.200000 1.000000 74 100 170 10 0 0 0 0 0 0.0294118 0.158824 0.505882 0.741176 0.982353 1
bazzan 2.200000 1.000000 91 100 170 10 0 0 0 0 0.00588235 0.0352941 0.135294 0.364706 0.711765 0.947059 1
bazzan 2.200000 1.000000 94 100 170 10 0 0 0 0 0 0.0411765 0.182353 0.494118 0.741176 0.988235 1
bazzan 2.200000 0.970588 100 100 170 10 0 0 0 0 0 0.0294118 0.176471 0.523529 0.670588 0.935294 0.970588
bazzan 2.200000 0.994118 100 100 170 10 0 0 0 0 0 0.0411765 0.188235 0.505882 0.682353 0.976471 0.994118
bazzan 2.200000 0.835294 100 100 170 10 0 0 0 0 0 0.0235294 0.0882353 0.2 0.429412 0.752941 0.835294
bazzan 2.200000 1.000000 92 100 170 10 0 0 0 0 0 0.0294118 0.188235 0.523529 0.876471 0.988235 1
bazzan 2.200000 1.000000 100 100 170 10 0 0 0 0 0 0.0411765 0.188235 0.505882 0.764706 0.994118 1
bazzan 2.200000 0.988235 100 100 170 10 0 0 0 0 0 0.0294118 0.164706 0.423529 0.647059 0.952941 0.988235
bazzan 2.200000 0.994118 100 100 170 10 0 0 0 0 0 0.0352941 0.164706 0.505882 0.641176 0.917647 0.994118
bazzan 2.200000 0.970588 100 100 170 10 0 0 0 0 0 0.0411765 0.188235 0.482353 0.6 0.941176 0.970588
bazzan 2.200000 1.000000 88 100 170 10 0 0 0 0 0 0.0411765 0.188235 0.494118 0.747059 0.970588 1
bazzan 2.200000 0.994118 100 100 170 10 0 0 0 0 0 0.0411765 0.182353 0.529412 0.805882 0.970588 0.994118
bazzan 2.200000 1.000000 88 100 170 10 0 0 0 0 0 0.0294118 0.158824 0.558824 0.829412 0.982353 1
bazzan 2.200000 0.658824 100 100 170 10 0 0 0 0 0 0 0.0294118 0.123529 0.352941 0.641176 0.658824
bazzan 2.200000 0.711765 100 100 170 10 0 0 0 0 0 0.0176471 0.0529412 0.147059 0.4 0.664706 0.711765
bazzan 2.200000 1.000000 98 100 170 10 0 0 0 0 0 0.0294118 0.176471 0.435294 0.864706 0.970588 1
bazzan 2.200000 1.000000 91 100 170 10 0 0 0 0 0 0.0352941 0.170588 0.494118 0.770588 0.976471 1
bazzan 2.200000 0.994118 100 100 170 10 0 0 0 0 0 0.0411765 0.182353 0.529412 0.729412 0.970588 0.994118
bazzan 2.200000 1.000000 72 100 170 10 0 0 0 0 0 0.0411765 0.182353 0.5 0.829412 1 1
bazzan 2.200000 1.000000 91 100 170 10 0 0 0 0 0 0.0411765 0.176471 0.517647 0.723529 0.988235 1
bazzan 2.200000 1.000000 82 100 170 10 0 0 0 0 0 0.0352941 0.176471 0.5 0.735294 0.964706 1
bazzan 2.200000 0.994118 100 100 170 10 0 0 0 0 0 0.0411765 0.188235 0.505882 0.658824 0.970588 0.994118
bazzan 2.200000 1.000000 100 100 170 10 0 0 0 0 0 0.0352941 0.158824 0.523529 0.723529 0.994118 1
bazzan 2.200000 1.000000 96 100 170 10 0 0 0 0 0 0.0352941 0.152941 0.464706 0.664706 0.958824 1
bazzan 2.200000 0.958824 100 100 170 10 0 0 0 0 0 0.0411765 0.176471 0.476471 0.6 0.923529 0.958824
bazzan 2.200000 0.970588 100 100 170 10 0 0 0 0 0 0.0411765 0.188235 0.452941 0.570588 0.911765 0.970588
bazzan 2.200000 0.958824 100 100 170 10 0 0 0 0 0 0.0117647 0.0764706 0.317647 0.741176 0.911765 0.958824
bazzan 2.200000 0.723529 100 100 170 10 0 0 0 0 0 0.0117647 0.0588235 0.117647 0.317647 0.588235 0.723529
bazzan 2.200000 0.988235 100 100 170 10 0 0 0 0 0 0.0117647 0.0823529 0.294118 0.782353 0.988235 0.988235
bazzan 2.200000 0.982353 100 100 170 10 0 0 0 0 0 0.0294118 0.158824 0.535294 0.747059 0.929412 0.982353
bazzan 2.200000 0.988235 100 100 170 10 0 0 0 0 0 0.0117647 0.0764706 0.311765 0.758824 0.929412 0.988235
bazzan 2.200000 1.000000 98 100 170 10 0 0 0 0 0 0.0294118 0.170588 0.570588 0.841176 0.982353 1
bazzan 2.200000 0.964706 100 100 170 10 0 0 0 0 0 0.0294118 0.188235 0.529412 0.7 0.917647 0.964706
