./sim < tests/capacity.slang
testName time fitness gens maxGens agents groupsize e0 e1 e2 e3 e4 e5 e6 e7 e8 e9 e10
capacityTest 1.000000 1.000000 45 100 500 10 0 0 0.09 0.252 0.446 0.68 0.85 0.942 0.98 0.994 1
capacityTest 1.000000 1.000000 52 100 500 10 0 0.002 0.074 0.228 0.488 0.722 0.872 0.944 0.984 0.988 1
capacityTest 1.000000 1.000000 44 100 500 10 0 0.002 0.096 0.24 0.404 0.624 0.804 0.932 0.968 0.986 1
capacityTest 1.000000 1.000000 44 100 500 10 0 0.002 0.05 0.148 0.33 0.578 0.79 0.944 0.98 0.99 1
capacityTest 1.000000 1.000000 56 100 500 10 0 0 0.11 0.322 0.538 0.77 0.918 0.978 0.994 0.998 1
capacityTest 1.000000 1.000000 49 100 500 10 0 0.002 0.09 0.21 0.412 0.63 0.816 0.926 0.986 0.998 1
capacityTest 1.000000 1.000000 45 100 500 10 0 0.002 0.116 0.248 0.418 0.636 0.8 0.922 0.982 0.992 1
capacityTest 1.000000 1.000000 50 100 500 10 0 0.002 0.094 0.212 0.4 0.66 0.834 0.936 0.98 0.988 1
capacityTest 1.000000 1.000000 46 100 500 10 0 0.002 0.058 0.19 0.396 0.622 0.806 0.91 0.964 0.994 1
capacityTest 1.000000 1.000000 44 100 500 10 0 0.002 0.112 0.254 0.41 0.638 0.84 0.94 0.982 0.994 1
capacityTest 1.000000 1.000000 57 100 500 10 0 0.002 0.1 0.252 0.432 0.66 0.846 0.95 0.992 0.996 1
capacityTest 1.000000 1.000000 45 100 500 10 0 0.002 0.104 0.316 0.498 0.706 0.88 0.96 0.99 0.992 1
capacityTest 1.000000 1.000000 57 100 500 10 0 0.002 0.066 0.192 0.42 0.69 0.874 0.964 0.988 0.998 1
capacityTest 1.000000 1.000000 56 100 500 10 0 0.002 0.072 0.188 0.406 0.616 0.816 0.914 0.962 0.982 1
capacityTest 1.000000 1.000000 43 100 500 10 0 0.002 0.102 0.274 0.442 0.632 0.784 0.912 0.966 0.984 1
capacityTest 1.000000 1.000000 40 100 500 10 0 0.002 0.032 0.174 0.352 0.562 0.77 0.924 0.976 0.992 1
capacityTest 1.000000 1.000000 37 100 500 10 0 0.002 0.102 0.29 0.418 0.584 0.808 0.906 0.954 0.976 1
capacityTest 1.000000 1.000000 55 100 500 10 0 0.002 0.04 0.168 0.372 0.604 0.82 0.942 0.982 0.99 1
capacityTest 1.000000 1.000000 47 100 500 10 0 0.002 0.09 0.202 0.39 0.612 0.814 0.936 0.982 0.992 1
capacityTest 1.000000 1.000000 41 100 500 10 0 0.002 0.1 0.256 0.42 0.59 0.81 0.942 0.978 0.992 1
capacityTest 1.000000 1.000000 62 100 500 10 0 0.002 0.104 0.228 0.464 0.702 0.87 0.962 0.992 0.992 1
capacityTest 1.000000 1.000000 44 100 500 10 0 0.002 0.1 0.204 0.378 0.556 0.758 0.888 0.96 0.992 1
capacityTest 1.000000 1.000000 41 100 500 10 0 0.002 0.08 0.194 0.378 0.606 0.786 0.916 0.972 0.986 1
capacityTest 1.000000 1.000000 53 100 500 10 0 0.002 0.086 0.218 0.424 0.662 0.842 0.94 0.986 0.996 1
